hhid,loginc,college,jchoice
282,11.244,1,147
283,11.859,1,168
284,11.086,0,45
285,10.98,0,37
286,11.062,1,133
287,10.604,1,24
288,12.23,1,189
289,10.458,1,47
290,11.452,1,140
291,11.049,1,135
292,10.595,1,30
293,11.693,1,29
294,10.577,0,43
295,11.24,0,117
296,11.617,0,181
297,11.298,0,159
298,10.773,0,1
299,11.559,1,106
300,11.218,0,158
301,11.202,1,118
302,10.465,1,45
303,11.08,1,58
304,10.848,1,107
305,11.294,0,53
306,10.979,0,97
307,11.268,0,191
308,10.58,0,56
309,11.223,1,108
310,11.69,0,182
311,11.963,1,114
312,11.797,1,141
313,10.379,0,3
314,10.822,0,137
315,10.892,0,113
316,11.241,0,195
317,11.978,1,199
318,11.221,0,25
319,10.437,0,19
320,10.936,1,68
321,10.967,0,4
322,10.798,1,39
323,10.309,0,11
324,11.473,0,196
325,11.607,1,144
326,10.432,0,24
327,10.283,0,63
328,10.831,1,168
329,11.001,1,33
330,11.177,1,92
331,10.818,0,69
332,11.362,1,93
333,11.349,0,16
334,10.672,1,152
335,11.217,1,107
336,11.15,0,125
337,10.912,0,50
338,12.209,1,130
339,11.313,1,54
340,11.227,1,104
341,11.648,1,185
342,11.116,1,121
343,11.375,1,165
344,10.934,1,159
345,12.041,0,176
346,11.442,1,135
347,10.916,1,7
348,11.402,1,118
349,11.258,1,144
350,10.207,0,11
351,12.209,1,196
352,11.201,1,59
353,11,0,137
354,11.123,0,128
355,11.434,1,146
356,11.176,0,80
357,11.056,1,47
358,10.714,0,39
359,11.439,1,160
360,11.628,1,112
361,11.082,0,90
362,10.972,0,53
363,10.939,1,178
364,10.123,1,53
365,10.943,1,31
366,11.639,1,199
367,10.679,1,18
368,11.286,1,125
369,10.466,1,28
370,10.308,0,49
371,11.008,0,159
372,11.197,0,149
373,10.221,0,26
374,11.056,1,100
375,10.582,0,76
376,11.768,0,154
377,10.854,1,22
378,11.91,1,178
379,11.235,1,191
380,10.951,0,55
381,10.489,0,12
382,11.951,1,176
383,10.68,1,5
384,11.558,0,193
385,11.317,0,128
386,10.991,0,56
387,10.894,1,20
388,11.053,0,167
389,10.967,0,63
390,11.622,1,169
391,10.655,0,118
392,11.728,1,184
393,12.186,0,191
394,10.851,0,65
395,11.729,1,190
396,11.326,1,67
397,11.129,0,9
398,10.955,1,49
399,11.38,1,37
400,10.644,1,118
401,11.757,1,192
402,12.143,1,195
403,10.656,0,19
404,11.169,1,36
405,10.608,0,51
406,11.804,1,177
407,10.408,0,9
408,10.423,0,70
409,9.9924,0,26
410,12.121,0,154
411,11.012,0,144
412,11.1,1,122
413,11.11,1,39
414,11.057,1,129
415,11.018,1,100
416,11.538,0,199
417,10.991,1,58
418,10.724,0,46
419,10.848,1,78
420,11.005,1,27
421,10.206,0,12
422,11.551,0,169
423,10.847,0,130
424,10.902,0,114
425,10.714,0,113
426,10.595,0,30
427,11.064,0,54
428,11.065,1,163
429,10.214,0,7
430,10.874,1,92
431,11.31,0,157
432,11.157,0,145
433,11.2,0,97
434,10.634,0,48
435,11.336,1,86
436,10.525,0,87
437,11.564,1,133
438,11.373,0,188
439,10.903,1,40
440,10.96,0,59
441,11.725,1,102
442,10.92,0,36
443,12.173,1,172
444,11.647,0,101
445,11.077,1,114
446,11.485,1,108
447,12.145,1,197
448,11.517,1,166
449,10.325,0,1
450,11.765,0,193
451,11.774,0,186
452,11.579,1,142
453,10.657,1,32
454,11.417,1,152
455,10.774,1,26
456,11.227,1,141
457,10.937,1,89
458,11.871,0,154
459,11.085,0,39
460,10.602,0,83
461,11.984,0,178
462,10.498,1,17
463,11.567,0,158
464,10.55,0,51
465,11.03,1,70
466,11.58,0,127
467,10.854,1,54
468,11.698,0,200
469,10.969,1,45
470,10.5,0,33
471,11.529,1,199
472,11.349,0,130
473,11.231,0,70
474,10.51,1,25
475,10.785,1,57
476,10.584,0,51
477,10.794,1,125
478,11.703,1,140
479,11.702,0,115
480,11.46,1,149
481,10.717,0,69
482,10.097,1,30
483,10.639,1,105
484,11.651,1,175
485,11.588,0,169
486,10.385,1,100
487,10.527,0,54
488,10.771,0,17
489,11.624,1,193
490,10.714,0,140
491,10.498,1,25
492,11.646,1,162
493,11.632,0,164
494,10.948,0,81
495,11.241,0,29
496,10.771,1,64
497,11.158,1,193
498,11.135,1,63
499,10.866,1,132
500,11.67,0,163
501,11.639,0,138
502,11.02,0,92
503,10.95,0,86
504,11.017,0,89
505,11.609,1,194
506,11.063,0,92
507,11.169,1,100
508,10.344,0,50
509,11.067,1,123
510,11.709,0,166
511,11.67,1,139
512,11.383,0,105
513,10.193,0,47
514,10.977,0,70
515,11.23,1,170
516,10.615,0,17
517,11.562,1,127
518,11.457,0,132
519,11.315,1,125
520,11.868,1,172
521,11.316,1,172
522,11.823,1,127
523,10.798,1,58
524,11.567,1,82
525,11.069,1,108
526,11.747,0,76
527,10.931,0,32
528,11.703,0,159
529,10.948,0,5
530,11.343,0,173
531,10.688,1,82
532,11.97,0,194
533,10.586,1,38
534,11.589,1,190
535,11.789,1,117
536,12.175,1,127
537,11.063,1,25
538,10.916,0,166
539,11.013,0,177
540,11.161,0,180
541,9.6718,0,8
542,10.974,1,121
543,10.673,0,2
544,10.421,0,11
545,11.021,0,20
546,10.787,0,90
547,11.275,1,141
548,10.697,0,100
549,11.106,1,166
550,10.485,0,81
551,10.855,0,82
552,10.317,1,10
553,11.04,1,54
554,10.344,0,51
555,10.485,0,50
556,10.826,0,12
557,10.941,1,96
558,11.295,1,136
559,10.793,1,28
560,10.709,0,15
561,11.517,0,135
562,10.945,1,79
563,10.934,1,99
564,11.762,0,148
565,11.666,1,93
566,11.339,1,124
567,10.584,0,59
568,11.363,1,142
569,11.219,1,105
570,11.533,0,145
571,10.756,0,74
572,10.786,1,111
573,11.325,1,161
574,11.842,1,174
575,11.431,1,94
576,12.3,1,199
577,11.219,0,116
578,11.501,1,180
579,10.493,1,142
580,10.368,0,19
581,10.606,1,42
582,11.694,0,183
583,11.19,1,150
584,11.539,0,104
585,11.625,1,137
586,11.67,0,196
587,10.65,1,172
588,11.175,0,19
589,11.062,0,17
590,11.415,1,22
591,11.076,0,109
592,10.922,1,128
593,11.89,1,167
594,10.625,0,5
595,10.606,0,61
596,11.043,0,124
597,11.53,0,95
598,11.367,0,196
599,11.419,0,192
600,9.459,0,17
601,11.024,1,91
602,11.184,1,114
603,10.591,0,24
604,11.025,0,121
605,10.809,0,109
606,11.515,1,200
607,11.221,1,105
608,11.151,1,62
609,11.112,0,93
610,11.42,1,119
611,11.4,0,69
612,11.249,1,170
613,11.307,1,85
614,10.921,0,22
615,11.383,0,154
616,11.514,1,156
617,11.883,0,102
618,11.358,0,183
619,10.915,0,108
620,11.243,0,11
621,10.824,0,52
622,10.824,1,59
623,11.401,0,80
624,10.184,1,129
625,11.664,1,165
626,11.28,0,103
627,10.883,1,65
628,10.686,1,121
629,10.937,1,9
630,11.471,1,145
631,11.719,0,196
632,10.73,1,137
633,10.582,1,7
634,10.932,0,137
635,11.3,1,131
636,11.155,0,170
637,10.733,1,159
638,11.607,0,115
639,10.772,0,20
640,11.772,0,184
641,12.004,0,181
642,12.079,1,195
643,9.817,0,35
644,11.679,1,180
645,11.066,0,79
646,10.872,0,76
647,10.652,0,187
648,11.024,0,134
649,10.977,1,13
650,11.21,0,129
651,10.892,0,90
652,11.31,0,106
653,10.759,1,62
654,10.547,0,57
655,10.811,1,117
656,11.387,0,64
657,11.382,1,172
658,11.137,0,5
659,12.317,1,161
660,11.334,0,82
661,11.533,1,147
662,10.832,1,110
663,11.13,0,113
664,11.195,1,20
665,11.756,0,172
666,10.294,1,70
667,11.349,1,108
668,11.417,0,49
669,11.31,1,126
670,11.675,0,114
671,11.111,1,11
672,10.262,1,83
673,11.481,0,143
674,10.956,1,1
675,10.504,1,39
676,11.138,1,89
677,10.227,0,18
678,11.385,0,80
679,10.888,1,14
680,12.106,1,192
681,10.694,1,1
682,10.631,1,110
683,11.388,1,84
684,12.098,1,122
685,9.9528,0,76
686,11.564,1,175
687,11.833,1,182
688,11.655,1,56
689,10.695,0,65
690,11.13,1,159
691,10.912,0,1
692,10.383,1,63
693,10.667,1,101
694,10.454,0,40
695,10.64,0,134
696,11.798,0,199
697,11.135,0,75
698,11.12,1,99
699,11.334,1,24
700,11.09,0,195
701,10.506,0,47
702,11.94,0,183
703,11.143,1,3
704,10.644,0,44
705,11.112,0,88
706,11.342,0,171
707,11.23,1,192
708,10.845,0,126
709,11.441,0,179
710,12.389,1,192
711,11.256,0,36
712,10.749,0,27
713,10.43,0,5
714,10.605,1,60
715,11.694,1,181
716,10.374,0,1
717,10.413,1,56
718,11.495,0,158
719,11.504,1,131
720,10.439,0,12
721,11.078,0,137
722,11.667,1,147
723,10.746,1,23
724,10.938,1,81
725,10.6,1,47
726,10.763,0,89
727,11.125,1,58
728,11.317,0,88
729,11.738,1,67
730,11.045,1,53
731,11.881,1,139
732,11.823,0,193
733,11.904,1,161
734,11.047,0,167
735,11.011,1,115
736,10.604,1,62
737,9.9855,1,119
738,11.946,1,194
739,10.824,1,36
740,11.233,0,135
741,10.94,1,85
742,11.869,0,130
743,10.858,0,19
744,10.914,1,143
745,11.007,0,200
746,10.135,1,4
747,11.345,1,90
748,11.882,0,186
749,10.809,0,56
750,10.781,1,74
751,11.896,0,174
752,11.314,0,155
753,11.279,1,170
754,11.193,1,14
755,10.516,0,19
756,11.659,1,159
757,11.895,0,158
758,11.082,1,37
759,11.136,0,72
760,11.71,1,177
761,10.559,0,80
762,11.734,1,171
763,11.83,0,152
764,10.977,0,112
765,10.952,0,173
766,10.556,0,81
767,11.227,1,117
768,10.659,1,87
769,11.195,1,162
770,11.535,1,145
771,11.228,1,160
772,11.492,1,82
773,11.221,1,72
774,10.702,0,148
775,11.049,1,163
776,10.456,0,84
777,10.706,0,89
778,11.335,0,157
779,10.841,0,31
780,10.8,0,127
781,10.281,0,63
782,11.092,1,173
783,11.231,0,112
784,11.095,1,134
785,11.051,1,121
786,10.186,0,34
787,11.399,1,137
788,11.2,1,45
789,10.72,0,6
790,10.805,1,36
791,11.402,0,153
792,10.928,0,78
793,10.995,0,126
794,11.325,1,82
795,10.793,0,98
796,12.429,1,189
797,10.526,0,72
798,11.588,1,92
799,11.433,0,144
800,12.245,1,198
801,10.863,1,78
802,11.051,0,155
803,10.973,1,71
804,11.281,1,140
805,11.27,0,101
806,11.494,1,121
807,10.685,0,50
808,11.583,1,35
809,10.575,1,24
810,11.281,0,103
811,11.072,0,40
812,10.325,0,18
813,11.079,1,126
814,11.706,0,184
815,11.611,1,168
816,10.498,0,35
817,11.265,0,121
818,10.651,0,154
819,10.288,1,28
820,11.063,1,100
821,11.237,1,199
822,10.561,0,109
823,11.272,1,96
824,10.94,0,188
825,11.377,0,105
826,11.285,0,79
827,11.722,0,139
828,10.89,0,116
829,11.728,1,186
830,11.396,1,193
831,11.124,1,119
832,12.042,1,169
833,10.962,0,140
834,10.351,0,103
835,11.286,1,157
836,11.333,1,160
837,10.901,0,86
838,10.814,0,43
839,10.931,0,199
840,10.395,0,3
841,10.948,0,59
842,10.86,0,10
843,11.453,0,101
844,11.167,1,109
845,11.676,1,119
846,11.374,0,84
847,11.373,1,108
848,11.348,0,148
849,11.236,1,88
850,11.106,0,70
851,11.218,1,186
852,11.251,1,90
853,10.903,1,117
854,11.027,0,39
855,11.084,0,81
856,10.9,1,190
857,11.011,1,78
858,10.666,1,97
859,11.123,0,26
860,11.165,1,149
861,10.685,1,14
862,10.774,0,37
863,10.377,0,33
864,11.268,1,167
865,11.219,1,128
866,11.364,1,83
867,11.256,1,82
868,11.465,1,154
869,9.6889,0,18
870,11.214,1,113
871,11.862,0,154
872,11.051,0,146
873,11.064,0,81
874,12.008,0,147
875,11.287,1,93
876,11.454,0,186
877,10.943,0,158
878,11.277,0,42
879,11.386,1,180
880,12.119,1,196
881,10.776,0,24
882,10.91,0,89
883,12.215,1,199
884,10.913,0,54
885,11.448,1,200
886,11.314,0,171
887,10.48,1,2
888,10.996,0,88
889,11.517,1,134
890,11.352,0,153
891,11.005,0,155
892,11.11,0,125
893,12.009,0,198
894,11.022,0,62
895,11.739,1,173
896,11.37,0,154
897,11.076,1,150
898,11.562,1,189
899,10.999,1,5
900,10.803,0,103
901,11.553,0,189
902,10.857,1,38
903,10.932,0,106
904,11.536,1,172
905,12.064,1,174
906,11.33,0,127
907,11.265,1,106
908,11.343,0,25
909,10.544,1,15
910,10.99,0,28
911,10.85,1,44
912,10.706,0,11
913,10.388,1,68
914,10.605,1,15
915,11.329,1,43
916,11.015,0,30
917,11.119,1,98
918,11.799,1,155
919,11.017,0,64
920,11.36,1,101
921,10.368,0,118
922,10.031,0,39
923,10.86,0,17
924,11.49,1,134
925,11.018,0,53
926,11.975,0,189
927,11.122,1,119
928,10.857,1,78
929,10.589,0,8
930,11.265,0,64
931,12.056,0,111
932,11.755,0,155
933,10.83,0,102
934,10.642,0,44
935,11.724,1,82
936,11.741,1,191
937,10.683,0,26
938,11.996,1,158
939,10.864,0,133
940,11.777,1,142
941,11.479,0,153
942,12.164,0,129
943,10.691,0,20
944,10.891,1,131
945,11.458,0,124
946,11.108,1,130
947,10.965,0,14
948,11.092,0,104
949,10.876,0,79
950,11.218,0,99
951,10.657,0,196
952,11.496,1,173
953,11.467,0,117
954,11.847,0,135
955,10.764,0,110
956,10.961,0,40
957,12.276,1,182
958,11.852,0,193
959,11.734,0,196
960,11.282,1,135
961,10.949,1,175
962,10.387,1,9
963,11.011,1,29
964,11.345,1,124
965,11.574,0,163
966,10.204,0,6
967,10.94,0,65
968,11.16,0,8
969,9.5393,1,11
970,11.739,0,151
971,11.053,1,144
972,11.657,1,135
973,11.368,0,169
974,10.676,1,32
975,11.097,0,83
976,11.072,0,130
977,11.27,0,171
978,11.791,1,161
979,11.25,0,86
980,11.023,1,98
981,10.717,0,63
982,9.8799,0,13
983,10.942,1,103
984,9.626,0,23
985,10.841,0,33
986,10.947,1,42
987,11.02,1,1
988,10.688,0,113
989,11.497,1,102
990,11.509,1,162
991,11.117,1,115
992,10.923,0,93
993,11.524,1,153
994,11.48,0,97
995,11.365,1,127
996,10.782,1,91
997,11.156,0,102
998,12.171,1,185
999,11.965,0,177
1000,11.205,1,64
1001,11.011,0,39
1002,11.074,1,6
1003,11.595,1,186
1004,11.809,1,195
1005,11.73,0,184
1006,10.638,0,86
1007,11.602,0,88
1008,10.994,0,41
1009,10.663,0,40
1010,10.635,1,89
1011,11.22,1,23
1012,11.248,0,128
1013,10.72,1,149
1014,11.641,1,166
1015,10.942,0,48
1016,11.005,0,60
1017,10.757,0,69
1018,11.463,0,158
1019,10.632,0,28
1020,11.498,1,69
1021,10.33,1,23
1022,12.141,1,193
1023,10.965,0,11
1024,10.451,1,66
1025,11.167,0,134
1026,11.22,0,59
1027,11.496,1,162
1028,10.79,1,43
1029,11.406,1,136
1030,10.588,1,37
1031,10.969,0,98
1032,10.833,0,71
1033,9.9164,0,24
1034,10.555,0,12
1035,10.443,1,67
1036,10.758,0,133
1037,10.848,0,115
1038,10.915,0,1
1039,11.358,1,135
1040,10.713,1,189
1041,9.9298,0,77
1042,11.428,0,152
1043,10.756,0,180
1044,11.705,1,169
1045,10.88,1,157
1046,11.376,1,82
1047,11.077,1,169
1048,10.612,0,99
1049,11.786,1,181
1050,11.037,0,79
1051,11.125,0,91
1052,11.259,1,117
1053,11.429,1,138
1054,11.125,0,19
1055,11.102,1,31
1056,12.17,1,200
1057,10.622,1,14
1058,10.575,1,124
1059,11.744,0,199
1060,10.43,1,16
1061,11.333,1,139
1062,11.474,0,68
1063,9.8821,0,29
1064,11.562,1,72
1065,11.73,1,176
1066,11.171,1,133
1067,10.396,0,6
1068,11.205,0,160
1069,11.624,1,105
1070,11.015,0,161
1071,11.233,0,118
1072,10.571,1,167
1073,10.59,0,22
1074,10.434,1,69
1075,11.409,1,116
1076,11.518,0,153
1077,11.078,1,124
1078,10.795,1,163
1079,11.131,1,119
1080,11.816,1,178
1081,10.014,0,12
1082,11.693,1,186
1083,11.367,1,175
1084,10.97,0,65
1085,11.068,0,114
1086,10.685,1,37
1087,10.432,0,38
1088,10.177,0,22
1089,10.496,0,68
1090,11.058,1,90
1091,10.668,1,21
1092,10.78,1,87
1093,11.034,0,70
1094,11.678,1,101
1095,10.624,1,37
1096,11.519,1,162
1097,11.869,0,168
1098,11.005,1,134
1099,11.856,1,199
1100,10.684,1,31
1101,10.529,0,14
1102,11.921,1,121
1103,10.73,0,71
1104,10.965,0,59
1105,10.896,1,61
1106,11.26,1,68
1107,10.827,1,119
1108,11.113,1,56
1109,11.781,1,180
1110,11.655,1,182
1111,10.532,0,126
1112,11.343,0,116
1113,10.398,1,16
1114,12.246,0,132
1115,11.803,0,144
1116,11.546,1,104
1117,10.882,0,26
1118,10.91,0,108
1119,11.168,1,154
1120,10.389,0,5
1121,10.8,0,84
1122,12.319,0,192
1123,10.47,1,43
1124,11.73,1,199
1125,10.696,0,100
1126,10.737,1,47
1127,11.363,1,147
1128,11.191,0,85
1129,10.714,1,36
1130,12.083,0,123
1131,11.289,0,92
1132,11.453,0,75
1133,10.25,0,46
1134,10.959,1,37
1135,10.718,1,10
1136,10.663,0,110
1137,11.023,1,73
1138,11.115,1,123
1139,12.098,1,188
1140,11.019,1,90
1141,11.088,0,160
1142,9.9799,0,85
1143,10.656,0,36
1144,10.772,1,154
1145,11.299,0,197
1146,11.14,1,141
1147,11.632,1,138
1148,10.665,1,144
1149,11.508,1,131
1150,12.295,0,181
1151,11.038,1,106
1152,11.258,1,98
1153,10.694,1,31
1154,12.38,0,109
1155,10.2,0,40
1156,10.366,0,4
1157,10.386,0,35
1158,10.639,1,44
1159,10.688,1,44
1160,11.05,1,30
1161,11.781,0,178
1162,11.361,0,151
1163,10.964,0,1
1164,10.722,0,8
1165,10.665,0,49
1166,11.152,1,183
1167,10.748,1,45
1168,11.283,1,99
1169,10.901,0,56
1170,10.851,0,38
1171,11.014,0,134
1172,11.469,0,141
1173,10.708,0,90
1174,10.916,0,36
1175,10.6,1,3
1176,11.358,1,42
1177,10.8,0,73
1178,10.948,1,81
1179,10.389,0,4
1180,11.207,1,149
1181,11.085,1,26
1182,10.997,1,148
1183,10.739,0,40
1184,11.943,1,185
1185,10.398,1,47
1186,11.802,0,157
1187,11.867,1,189
1188,11.292,1,65
1189,11.58,0,152
1190,11.306,1,88
1191,10.178,1,15
1192,11.175,0,104
1193,10.948,1,126
1194,10.755,0,137
1195,10.291,1,13
1196,9.4461,1,29
1197,10.643,0,39
1198,10.522,0,70
1199,12.17,1,179
1200,11.712,1,161
1201,11.385,1,186
1202,11.201,1,86
1203,11.876,1,160
1204,11.098,1,153
1205,10.531,0,60
1206,10.747,0,49
1207,10.856,0,16
1208,11.085,1,4
1209,11.396,0,98
1210,11.183,1,55
1211,11.676,1,95
1212,11.555,0,137
1213,10.603,0,126
1214,11.341,0,174
1215,10.884,0,122
1216,11.504,1,155
1217,10.553,0,38
1218,11.903,1,160
1219,11.254,1,137
1220,10.724,0,83
1221,10.974,0,18
1222,11.105,0,8
1223,11.286,1,57
1224,12.224,1,121
1225,11.423,0,106
1226,9.7638,0,28
1227,10.902,0,164
1228,11.472,1,179
1229,11.617,0,118
1230,10.419,1,3
1231,11.567,0,72
1232,10.783,1,78
1233,11.786,0,164
1234,11.938,1,150
1235,10.913,0,70
1236,10.782,0,48
1237,11.425,1,151
1238,10.939,1,167
1239,11.955,0,192
1240,10.191,0,20
1241,11.776,0,110
1242,10.928,0,24
1243,11.043,0,106
1244,10.466,1,26
1245,11.874,1,133
1246,12.119,1,184
1247,11.046,0,114
1248,10.951,1,126
1249,10.728,0,81
1250,10.745,0,26
1251,10.837,0,126
1252,11.737,1,173
1253,11.008,0,24
1254,11.748,0,136
1255,10.849,0,41
1256,11.416,1,142
1257,11.193,0,147
1258,10.661,0,57
1259,11.008,1,16
1260,10.984,0,157
1261,11.493,0,47
1262,11.68,1,151
1263,10.371,1,41
1264,10.935,1,123
1265,10.637,0,33
1266,11.315,1,75
1267,11.253,1,112
1268,11.011,0,116
1269,11.568,0,115
1270,11.135,1,120
1271,10.296,0,82
1272,11.318,1,152
1273,10.73,0,43
1274,10.914,1,90
1275,10.999,0,99
1276,11.53,0,75
1277,11.282,0,190
1278,11.373,0,111
1279,10.446,0,41
1280,11.474,0,163
1281,11.662,1,79
1282,11.755,1,144
1283,10.753,1,18
1284,10.103,0,103
1285,11.94,1,182
1286,10.911,1,50
1287,10.866,0,81
1288,10.983,0,73
1289,9.8738,0,27
1290,10.848,1,38
1291,11.64,1,195
1292,11.744,1,161
1293,12.093,0,166
1294,10.413,1,27
1295,11.006,1,110
1296,11.456,1,187
1297,10.746,0,31
1298,11.248,1,141
1299,11.208,1,158
1300,10.536,0,52
1301,11.552,1,127
1302,11.227,0,32
1303,10.798,1,26
1304,11.806,1,138
1305,11.029,0,75
1306,11.226,0,179
1307,10.607,1,108
1308,11.46,1,147
1309,12.062,0,175
1310,12.022,1,170
1311,11.185,0,146
1312,11.303,0,125
1313,10.47,0,107
1314,10.883,0,54
1315,11.342,0,157
1316,11.478,1,165
1317,10.98,1,117
1318,10.782,1,121
1319,10.921,1,6
1320,11.728,1,179
1321,12.076,1,166
1322,11.344,1,20
1323,11.188,1,120
1324,10.468,0,83
1325,10.162,0,69
1326,10.557,0,18
1327,10.781,1,80
1328,11.892,0,117
1329,10.532,1,4
1330,10.498,0,12
1331,11.271,0,173
1332,10.583,1,98
1333,11.965,0,155
1334,9.9468,0,90
1335,10.447,1,80
1336,11.465,0,140
1337,11.343,1,121
1338,11.29,1,74
1339,11.532,0,140
1340,11.628,1,178
1341,11.527,1,159
1342,11.362,1,115
1343,11.453,1,118
1344,10.635,0,80
1345,11.273,1,156
1346,11.361,1,75
1347,11.875,1,166
1348,10.789,1,184
1349,11.538,0,145
1350,10.657,1,52
1351,10.267,0,44
1352,12.149,1,169
1353,11.049,1,23
1354,11.757,0,179
1355,11.592,0,128
1356,10.337,1,37
1357,11.639,1,114
1358,11.579,0,116
1359,11.021,1,142
